lastname,name,type,gender,screen_name,provincia,partido,bloque,interbloque,screen_name_corrected,followers_count,friends_count,statuses_count,favourites_count,birth,age,age_bucket
ALMIRÓN,ANA CLAUDIA,S,F,AnitaAlmiron,CORRIENTES,ALIANZA FRENTE PARA LA VICTORIA,FRENTE DE TODOS,Frente de Todos,AnaAlmironCtes,2816,510,1668,1777,2/7/84,36,36-40
ALPEROVICH,JOSÉ JORGE,S,M,JalperovichOK,TUCUMÁN,ALIANZA FRENTE PARA LA VICTORIA,FRENTE DE TODOS,Frente de Todos,JalperovichOK,9351,174,1256,254,13/04/1955,65,61-65
BASUALDO,ROBERTO GUSTAVO,S,M,RGBasualdo,SAN JUAN,ALIANZA CAMBIEMOS SAN JUAN,PRODUCCIÓN Y TRABAJO,Juntos por el Cambio,RGBasualdo,4088,996,3343,1484,15/12/1957,62,61-65
BLAS,INÉS IMELDA,S,F,SenadoraBlas,CATAMARCA,ALIANZA FRENTE PARA LA VICTORIA,FRENTE DE TODOS,Frente de Todos,SenadoraBlas,3794,206,627,262,21/04/1959,61,61-65
BRAILLARD POCCARD,NÉSTOR PEDRO,S,M,PedroBraillardP,CORRIENTES,ALIANZA ENCUENTRO CORRIENTES,FRENTE PRO,Juntos por el Cambio,PedroBraillardP,1503,663,1545,575,8/4/54,66,66-70
BRIZUELA Y DORIA DE CARA,OLGA INES,S,F,ines_byd,LA RIOJA,CAMBIEMOS FUERZA CIVICA RIOJANA,UCR,Juntos por el Cambio,ines_byd,12460,692,25319,20876,11/4/71,49,46-50
BULLRICH,ESTEBAN JOSE,S,M,estebanbullrich,BUENOS AIRES,CAMBIEMOS BUENOS AIRES,FRENTE PRO,Juntos por el Cambio,estebanbullrich,573414,1357,10601,2238,26/05/1969,51,51-55
CASERIO,CARLOS ALBERTO,S,M,CaserioCarlos,CÓRDOBA,ALIANZA UNIÓN POR CÓRDOBA,FRENTE DE TODOS,Frente de Todos,CaserioCarlos,3021,2441,285,499,25/05/1950,70,66-70
CASTILLO,OSCAR ANÍBAL,S,M,Oacastillo,CATAMARCA,FRENTE CÍVICO Y SOCIAL,FRENTE CÍVICO Y SOCIAL DE CATAMARCA,Juntos por el Cambio,Oacastillo,1644,123,327,80,18/01/1954,66,66-70
CATALFAMO,MARÍA EUGENIA,S,F,eugecatalfamo,SAN LUIS,FRENTE UNIDAD JUSTICIALISTA SAN LUIS,FRENTE DE TODOS,Frente de Todos,eugecatalfamo,2706,468,1015,1386,4/10/87,32,-35
CLOSS,MAURICE FABIÁN,S,M,mauricloss,MISIONES,FRENTE RENOVADOR DE LA CONCORDIA,FRENTE DE TODOS,Frente de Todos,mauricloss,38800,175,10758,95,10/6/71,49,46-50
COBOS,JULIO CÉSAR CLETO,S,M,juliocobos,MENDOZA,ALIANZA CAMBIEMOS,UCR,Juntos por el Cambio,juliocobos,196411,266,14868,13523,30/04/1955,65,61-65
COSTA,EDUARDO RAÚL,S,M,EduardoCostaSC,SANTA CRUZ,UNION PARA VIVIR MEJOR CAMBIEMOS,UCR,Juntos por el Cambio,EduardoCostaSC,17070,1114,19699,9718,27/08/1961,58,56-60
DURANGO,NORMA HAYDÉE,S,F,norma_durango,LA PAMPA,ALIANZA FRENTE P/VICTORIA (PERONISMO PAMPEANO),FRENTE DE TODOS,Frente de Todos,norma_durango,3004,53,616,583,20/11/1952,67,66-70
ELÍAS DE PEREZ,SILVIA BEATRIZ,S,F,silviaEdePerez,TUCUMÁN,ALIANZA CAMBIEMOS,UCR,Juntos por el Cambio,silviaEdePerez,28482,897,8274,6254,10/5/64,56,56-60
ESPÍNOLA,CARLOS MAURICIO,S,M,espinolacamau,CORRIENTES,ALIANZA FRENTE PARA LA VICTORIA,FRENTE DE TODOS,Frente de Todos,espinolacamau,9864,2152,2535,682,5/10/71,48,46-50
FERNÁNDEZ SAGASTI,ANABEL,S,F,afernandezk,MENDOZA,ALIANZA FRENTE PARA LA VICTORIA,FRENTE DE TODOS,Frente de Todos,afernandezk,378,834,12647,681,3/4/84,36,36-40
FIAD,MARIO RAYMUNDO,S,M,MarioFiad,JUJUY,FRENTE JUJEÑO CAMBIEMOS,UCR,Juntos por el Cambio,MarioFiad,11165,414,7560,2393,12/1/57,63,61-65
GIACOPPO,SILVIA DEL ROSARIO,S,F,giacopposilvia,JUJUY,FRENTE JUJEÑO CAMBIEMOS,UCR,Juntos por el Cambio,giacopposilvia,5521,640,9127,8594,1/5/59,61,61-65
GONZÁLEZ,GLADYS ESTHER,S,F,gladys_gonzalez,BUENOS AIRES,CAMBIEMOS BUENOS AIRES,FRENTE PRO,Juntos por el Cambio,gladys_gonzalez,54911,1020,7214,1070,30/05/1973,47,46-50
GONZÁLEZ,NANCY SUSANA,S,F,nancysgonzalez,CHUBUT,ALIANZA FRENTE PARA LA VICTORIA,FRENTE DE TODOS,Frente de Todos,nancysgonzalez,7491,982,5885,5195,10/2/61,59,56-60
IANNI,ANA MARÍA,S,F,AnaMariaIanni,SANTA CRUZ,FRENTE PARA LA VICTORIA,FRENTE DE TODOS,Frente de Todos,AnaMariaIanni,3124,236,4746,2262,21/09/1969,50,46-50
LUENZO,ALFREDO HÉCTOR,S,M,SenadorLuenzo,CHUBUT,CHUBUT SOMOS TODOS,CHUBUT SOMOS TODOS,Frente de Todos,SenadorLuenzo,9987,1236,4336,1640,16/10/1957,62,61-65
MARINO,JUAN CARLOS,S,M,Juancmarino,LA PAMPA,ALIANZA CAMBIEMOS,UCR,Juntos por el Cambio,Juancmarino,5501,1338,2803,818,23/10/1963,56,56-60
MARTÍNEZ,JULIO CÉSAR,S,M,JulioMartinezLR,LA RIOJA,CAMBIEMOS FUERZA CIVICA RIOJANA,UCR,Juntos por el Cambio,JulioMartinezLR,37131,710,10443,2470,23/03/1962,58,56-60
