directed_at_screen_name,directed_at_congress,directed_at_gender,directed_at_interbloque,id_str,datetime,text,Slurs,Target,Main category,Threat,Sexually Explicit,Misoginy,Comment,Review
RossiAgustinOk,D,M,Frente de Todos,id_1207702754325618688,12/19/19 16:42,"Cuando tiene razón, tiene razón",,,None,,,,,
fvallejoss,D,F,Frente de Todos,id_1214240704786042881,1/6/20 17:41,Es como pedir que ustedes devuelvan la que se llevaron!!!,,,Hostility,No,No,No,,
,,,,id_1228453353119764481,2/14/20 22:57,Y más ladrones,,,None,,,,,
fvallejoss,D,F,Frente de Todos,id_1214287335535390727,1/6/20 20:47,"Diputada nacional, ya se explica todo",,,None,,,,,
FerIglesias,D,M,Juntos por el Cambio,id_1207261808568020993,12/18/19 11:30,Lindo gesto es contestarle algunas palabras a esta gente que jamás aprenderá a ver más allá de su propia lengua....,,Plural,Criticism,No,No,No,,
FerIglesias,D,M,Juntos por el Cambio,id_1217156116414652417,1/14/20 18:46,"Pelotudo si no es prueba la no presencia de pólvora , para que los peritos se toman el trabajo de ver si tiene o no pólvora , SOS muy pelotudo , volve al vientre de tu madre , en una de esas encontras las neuronas que olvidastes cuando te aborto",Pelotudo,,Hostility,No,No,No,,
omarperotti,S,M,Frente de Todos,id_1236361899358466048,3/7/20 18:43,Teléfono Santa Fe. Podrían hacer lo mismo.  con todas. Luz Gas y Agua son Provinciales pero vendría bien. Aumentar como hicieron es fácil pero pagar capaz que es muy difícil. Gracias👍😡,,,None,,,,,
,,,,id_1231926828572520448,2/24/20 13:00,Debería darte vergüenza salir a defenderlas con ese tonito d maestra jardinera !!! Renuncien!!!!,,,Hostility,No,No,Yes,"""Tonito de maestra jardinera""",
gabicerru,D,F,Frente de Todos,id_1227750986044903424,2/13/20 0:27,Por qué estigmatizado. Pones etiquetas. Agrietas!!!,,,None,,,,,
gracielaocana,D,F,Juntos por el Cambio,id_1221217595879317504,1/25/20 23:45,"Llamate a silencio, caradura.",Caradura,,Hostility,No,No,No,,
mirtatundis,D,F,Frente de Todos,id_1228600779688304641,2/15/20 8:43,Quien es el que se burla de los jubilados entonces?,,,Criticism,No,No,No,,
,,,,id_1228327354478583808,2/14/20 14:37,"Ya dijo que no va a hacer nada más, que dejen de quejarse agriamente y que se hagan cargo de lo que firmaron. En conclusión LTA.",LTA,,Hostility,No,No,No,,
MaxicKirchner,D,M,Frente de Todos,id_1230191297274753024,2/19/20 18:03,"Dale un beso enorme a la mujer que nos devolvió la esperanza de recuperar nuestra patria,nuestra alegría y la esperanza d volver a tener  igualdad social La amamos La verdad triunfa 🎂🎉❤🐧✌🌞 Feliz cumpleaños Cristina!! #CristinaCumple",,,None,,,,,
slospennato,D,F,Juntos por el Cambio,id_1207133713647177728,12/18/19 3:01,No se. Preguntale a  que cada 10 días se va a Cuba,,,Criticism,No,No,No,,
