directed_at_screen_name,directed_at_congress,directed_at_gender,directed_at_interbloque,id_str,datetime,text,Slurs,Target,Main category,Threat,Sexually Explicit,Misoginy
felipe_sola,D,M,Frente de Todos,id_1205487519317536775,12/13/19 13:59,"Volve a neuquen donde no tenemos nada que envidiarle a Palermo, así llamamos a las carnicerías.",,,None,,,
,,,,id_1214229171683106816,1/6/20 16:56,"Mario, a esta altura ya deberías saber que Alberto no habla de lo que no le conviene, ni tampoco de lo que no lo dejan!",,Other individual,Hostility,No,No,No
pau_oliveto,D,F,Juntos por el Cambio,id_1207121363120603137,12/18/19 2:12,Alberto quiere cerrar el congreso entonces no van a trabajar. Vos te lees lo que escribis caradura hija de puta?,"caradura, hijo de puta",,Hostility,No,No,No
mirtatundis,D,F,Frente de Todos,id_1232728707732836353,2/26/20 18:06,Cara dura la sra eh,cara dura,other individual,Hostility,No,No,No
vikidonda,D,F,Frente de Todos,id_1221289865070903297,1/26/20 4:32,El INADI es un curro,,,None,,,
vikidonda,D,F,Frente de Todos,id_1229697791309602816,2/18/20 9:22,Q al pedo estas,q al pedo estas,,Hostility,No,No,No
,,,,id_1220833085618561025,1/24/20 22:17,dale que van  así robando...sin LABURAR  para TRES DÉCADAS,,Other plural,Hostility,No,No,No
elisacarrio,D,F,Juntos por el Cambio,id_1218205856770220032,1/17/20 16:18,"Jajajajajjajajaj te mandaron papeles de la CIA para que instruya a la tropa mentir , ojo que Trump tiene una estrategia para Irak uy te quiere allí para entretener a los soldados",,,None,,,
gabicerru,D,F,Frente de Todos,id_1218559170246586371,1/18/20 15:42,"Qué ironía. Pensar que la jefa de  llegó al poder político como legisladora porque LA ELIGIÓ UN MACHIRULO, que casualmente era su marido gobernador.",machirulo,other individual,Hostility,No,No,No
SergioMassa,D,M,Frente de Todos,id_1235331352985243650,3/4/20 22:28,Alguna conclusión ? Pueden usar si así lo desean para pedir opiniones a los #ff,,,None,,,
elisacarrio,D,F,Juntos por el Cambio,id_1210319101714931713,12/26/19 21:58,"Feliz cumpleaños, leona!!",,,None,,,
FerIglesias,D,M,Juntos por el Cambio,id_1222845474299924481,1/30/20 11:34,Aca hay otro... Al final el único q está a favor sos vos!,,,None,,,
gabicerru,D,F,Frente de Todos,id_1219346205026791424,1/20/20 19:49,A los políticos podemos estigmatizar?????,,,None,,,
FerIglesias,D,M,Juntos por el Cambio,id_1216464849418510336,1/12/20 20:59,Oia! Parecido a La Matanza....,,,None,,,
SergioMassa,D,M,Frente de Todos,id_1235311892580708361,3/4/20 21:11,Primeiro ministro?,,,None,,,
marioraulnegri,D,M,Juntos por el Cambio,id_1220183683384119296,1/23/20 3:17,"Si bien pienso que Cambiemos fue una runfla de inutiles, esta sra es solo otra atorrante de otra faccion.. Tiene metidos en el esta a toda la flia, menos mal que no adopto pibes, porque los vagos mantenidos serian mas aun... PJ,K, Cambiemos, Radicales, Ia. TODOS LA MISMA MERDA.","inutiles, atorrante, vagos, todos la misma mierda",Other plural,Hostility,No,No,No
,,,,id_1207716335788138497,12/19/19 17:36,No es una grieta... Es un abismo. De un lado las buenas personas y del otro vos y tus pares.,,,Hostility,No,No,No
